Species,Climate,Plot_ID,Individual_ID,Season,Drought_treatment,Table,Rack,Position_within_Rack,Seed1(g),Seed2(g),Seed3(g),Seed4(g),Seed5(g),#exp Seed,Date exp seed,weight exp seed,cotyl 1 length exp,cotyl 1 width exp,cotyl 2 length exp,cotyl 2 width exp,exp_cotyl_length_aver,exp_cotyl_width_aver,#rgr seed,date rgr seed,weight rgr seed,rgr biomass,cotyl 1 length rgr,cotyl 1 width rgr,cotyl 2 length rgr,cotyl 2 width rgr,rgr_cotyl_length_aver,rgr_cotyl_width_aver,date harvesting,height (mm),rosette diameter (mm),abgr_biomass,undergr_biomass
Dia_car,ambient,3_4,3_4_C1,summer,drought,1,1,1,0.00154,0.00284,0.0019,0.00182,0.00273,4,12/14/2020,0.00182,4.54,2.93,4.14,3.1,4.34,3.015,,,,,,,,,,,1/25/2021,,,,
Dia_car,future,9_1,9_1_C2,summer,control,1,1,2,0.00064,0.00041,0.00076,0.00065,0.00051,1,12/18/2020,0.00064,5.27,2.95,4.38,2.42,4.825,2.685,,,,,,,,,,,1/29/2021,,,,
Sca_och,future,2_5,2_5_C2,fall,control,1,1,4,0.0007,0.00127,0.00067,0.00099,0.00131,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C4,fall,control,1,1,5,0.00064,0.00069,0.00092,0.00062,0.00065,4,12/28/2020,0.00062,6.3,4.15,6.45,3.6,6.375,3.875,,,,,,,,,,,2/8/2021,,,,
Dia_car,future,9_1,9_1_C2,fall,control,1,1,6,0.00059,0.00052,0.00065,0.00059,0.00035,3,12/11/2020,0.00065,4.98,3.1,4.53,2.93,4.755,3.015,4,12/16/2020,0.00059,0.00073,5.48,3.13,4.88,2.98,,,1/22/2021,,,,
Sca_och,ambient,5_5,5_5_C3,fall,drought,1,1,8,0.00082,0.00089,0.00083,0.00086,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,2_5,2_5_C2,summer,control,1,1,10,0.00076,0.0005,0.00069,0.00056,0.0007,3,11/30/2020,0.00069,6.2,5.19,5.96,4.6,6.08,4.895,1,11/30/2020,0.00076,0.00148,6.09,3.23,5.44,3.7,,,1/11/2021,100,185,1.11635,0.33658
Dia_car,future,2_5,2_5_C1,fall,control,1,1,11,0.00106,0.0005,0.0004,0.00057,0.00055,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,future,4_4,4_4_C1,fall,drought,1,1,12,0.00163,0.00153,0.00069,0.00104,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C3,fall,drought,1,1,15,0.00087,0.00064,0.00062,0.00061,0.00058,1,11/30/2020,0.00087,6.59,4.61,6.19,4.36,6.39,4.485,4,12/2/2020,0.00061,0.00156,3.3,2.37,3.35,2.68,3.325,2.525,1/11/2021,43,80,0.26956,0.12881
Sca_och,future,6_3,6_3_C3,summer,drought,1,1,18,0.00049,0.00101,0.00096,0.00108,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,9_1,9_1_C2,fall,control,1,1,20,0.00098,0.00113,0.00096,0.00069,0.00097,5,12/11/2020,0.00097,3.95,2.51,4.05,2.6,4,2.555,3,12/14/2020,0.00096,0.00129,4.68,3.09,4.56,3.04,,,1/22/2021,,,,
Dia_car,ambient,1_1,1_1_C4,fall,control,1,1,22,0.0006,0.0005,0.00047,0.00049,0.00055,3,12/18/2020,0.00047,4.63,3.5,4.69,3.35,4.66,3.425,,,,,,,,,,,1/29/2021,,,,
Sca_och,future,4_4,4_4_C1,summer,control,1,1,23,0.00043,0.00053,0.00085,0.00121,0.00112,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,3_4,3_4_C2,summer,drought,1,1,24,0.00053,0.00068,0.00054,0.00051,0.00047,1,11/27/2020,0.00053,5.77,3.86,5.03,4.24,5.4,4.05,,,,,,,,,,,1/8/2021,37,60,0.12778,0.10564
Dia_car,ambient,5_5,5_5_C1,summer,drought,1,1,26,0.00042,0.00045,0.00035,0.00044,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,ambient,5_5,5_5_C4,fall,drought,1,1,27,0.00061,0.00103,0.00061,0.00061,0.00064,1,11/30/2020,0.00061,5.89,4.24,6.97,4.28,6.43,4.26,5,11/30/2020,0.00064,0.0016,4.61,3.57,4.37,3.5,4.49,3.535,1/11/2021,70,92,0.21982,0.15417
Dia_car,ambient,10_2,10_2_C2,summer,control,1,1,28,0.00047,0.00056,0.0005,0.00054,0.00043,1,12/18/2020,0.00047,4.69,3.1,4.37,2.96,4.53,3.03,,,,,,,,,,,1/29/2021,,,,
Sca_och,future,7_2,7_2_C2,fall,drought,1,1,29,0.00126,0.00162,0.00156,0.00192,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,1_1,1_1_C3,fall,control,1,1,31,0.00138,0.00118,0.00091,0.00065,0.00096,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C3,summer,drought,1,1,36,0.00028,0.00048,0.00034,0.00033,0.00031,3,12/2/2020,0.00034,4.69,3.26,4.3,3.25,4.495,3.255,1,12/2/2020,0.00028,0.00108,4.67,3.53,4.64,3.24,4.655,3.385,1/13/2021,41,89,,
Dia_car,future,6_3,6_3_C4,fall,drought,1,1,39,0.00075,0.00074,0.00066,0.00032,0.00022,3,12/7/2020,0.00066,5.33,4.08,5.06,4.03,5.195,4.055,,,,,,,,,,,1/18/2021,43,67,,
Dia_car,ambient,3_4,3_4_C2,summer,control,1,1,40,0.00023,0.00045,0.00052,0.00047,0.0007,2,12/16/2020,0.00045,5.08,3.22,4.85,3.1,4.965,3.16,,,,,,,,,,,1/27/2021,,,,
Dia_car,future,4_4,4_4_C4,summer,drought,1,1,41,0.00082,0.00071,0.00106,0.00084,0.00084,4,11/30/2020,0.00084,7.67,3.42,6.8,3.87,7.235,3.645,1,11/30/2020,0.00082,0.00087,5.6,3.12,4.96,2.57,5.28,2.845,1/11/2021,42,67,0.15903,0.07724
Dia_car,ambient,10_2,10_2_C3,fall,control,1,1,43,0.00063,0.00053,0.00042,NA,NA,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,8_3,8_3_C1,summer,control,1,1,45,0.00073,0.00047,0.00044,0.00041,0.00056,3,11/30/2020,0.00044,6.54,3.72,6.08,3.98,6.31,3.85,2,11/30/2020,0.00047,0.00163,5.93,4.44,6.04,4.49,,,1/11/2021,73,82,0.54914,0.1839
Sca_och,future,2_5,2_5_C1,summer,control,1,1,46,0.00113,0.00149,0.00095,0.00164,0.00154,5,12/14/2020,0.00154,5.8,3.96,6.1,3.75,5.95,3.855,,,,,,,,,,,1/25/2021,,,,
Sca_och,ambient,8_3,8_3_C3,summer,control,1,1,49,0.00052,0.00055,0.00047,0.00055,0.0005,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,ambient,1_1,1_1_C3,fall,drought,1,1,50,0.00091,0.00105,0.00128,0.00097,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,4_4,4_4_C3,fall,drought,1,2,1,0.00074,0.00042,0.00046,0.00037,0.00042,1,11/30/2020,0.00074,5.81,3.56,5.45,3.61,5.63,3.585,3,11/30/2020,0.00046,0.00128,4.92,3.5,4.79,3.49,4.855,3.495,1/11/2021,35,62,0.16821,0.07877
Sca_och,ambient,5_5,5_5_C3,fall,control,1,2,4,0.00101,0.00075,0.00056,0.00072,0.00103,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,2_5,2_5_C2,summer,drought,1,2,5,0.00057,0.00069,0.00053,0.00063,0.00039,1,11/30/2020,0.00057,5.98,3.61,6.05,3.9,6.015,3.755,2,11/30/2020,0.00069,0.00148,4.99,3.1,5.57,3.17,5.28,3.135,1/11/2021,66,81,0.20879,0.10504
Dia_car,ambient,1_1,1_1_C3,summer,drought,1,2,7,0.00047,0.00052,0.00077,0.0005,0.00071,2,11/27/2020,0.00052,6.55,3.83,6.07,4.03,6.31,3.93,,,,,,,,,,,1/8/2021,36,85,0.20633,0.12874
Dia_car,future,6_3,6_3_C4,summer,control,1,2,10,0.00064,0.0005,0.0005,0.00045,0.00068,2,12/2/2020,0.0005,6.54,3.75,5.89,3.53,6.215,3.64,1,12/2/2020,0.00064,0.00178,5.28,3.69,5.88,4.12,,,1/13/2021,78,143,,
Dia_car,ambient,10_2,10_2_C4,fall,drought,1,2,13,0.00051,0.00032,0.00022,0.00046,0.00044,1,1/4/2021,0.00051,5.2,3.23,5.15,3.45,5.175,3.34,,,,,,,,,,,2/15/2021,,,,
Sca_och,ambient,3_4,3_4_C4,fall,drought,1,2,15,0.00057,0.00055,0.00057,0.00067,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,3_4,3_4_C3,fall,control,1,2,17,0.001,0.00114,0.00085,0.00085,0.00112,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,future,7_2,7_2_C3,summer,drought,1,2,18,0.00087,0.00063,0.00104,0.00086,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,4_4,4_4_C1,summer,drought,1,2,20,0.00044,0.00089,0.00119,0.00094,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,3_4,3_4_C2,summer,control,1,2,22,0.00043,0.0004,0.00049,0.0005,0.00044,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,5_5,5_5_C1,summer,control,1,2,24,0.00065,0.00032,0.00059,0.0006,0.00065,1 ,12/2/2020,0.00065,6.31,3.34,5.69,3.1,6,3.22,4,12/9/2020,0.0006,0.00068,4.95,2.38,4.98,2.63,,,1/13/2021,124,182,,
Sca_och,future,6_3,6_3_C3,summer,control,1,2,25,0.00092,0.00115,0.001,0.00062,0.00088,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,future,4_4,4_4_C2,fall,control,1,2,27,0.00064,0.00059,0.00048,0.00057,0.0008,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,8_3,8_3_C4,fall,control,1,2,28,0.00067,0.00059,0.00071,0.0006,0.00044,1,1/15/2021,0.00067,5.9,3.59,6.05,3.82,5.975,3.705,,,,,,,,,,,2/26/2021,,,,
Sca_och,ambient,1_1,1_1_C2,summer,control,1,2,29,0.00113,0.00102,0.00105,0.00055,0.00056,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,1_1,1_1_C2,summer,control,1,2,30,0.00039,0.00055,0.0004,0.00046,0.00053,1,12/7/2020,0.00039,4.54,3.2,5.2,3.67,4.87,3.435,4,1/7/2021,0.00046,0.00055,3.21,2.26,3.28,1.85,,,1/18/2021,113,145,,
Dia_car,ambient,8_3,8_3_C2,summer,drought,1,2,31,0.00075,0.00078,0.00085,0.00061,0.00081,1,12/7/2020,0.00075,4.8,3.45,4.69,3.63,4.745,3.54,,,,,,,,,,,1/18/2021,37,57,,
Dia_car,ambient,3_4,3_4_C4,fall,control,1,2,33,0.00062,0.00058,0.00052,0.00055,0.00033,1,12/9/2020,0.00062,6.3,3.65,5.71,3.66,6.005,3.655,1,1/7/2021,0.00062,0.00142,4.55,2.83,4.83,2.72,4.69,2.775,1/20/2021,,,,
Dia_car,future,9_1,9_1_C3,fall,control,1,2,34,0.00045,0.00052,0.00043,0.00042,0.00055,4,11/30/2020,0.00042,5.84,4.28,5.25,4.1,5.545,4.19,,,,,,,,,,,1/11/2021,77,127,0.70409,0.24516
Dia_car,future,4_4,4_4_C4,fall,control,1,2,35,0.00068,0.00072,0.00059,0.00055,0.00063,3,12/14/2020,0.00059,6.12,3.8,6.11,3.75,6.115,3.775,5,12/18/2020,0.00063,0.00099,5.28,3.25,5.3,3.2,,,1/25/2021,,,,
Sca_och,future,9_1,9_1_C2,summer,control,1,2,37,0.00103,0.00172,0.0011,0.00103,0.00116,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,6_3,6_3_C3,summer,drought,1,2,39,0.00052,0.00036,0.00067,0.00059,0.00046,3,11/30/2020,0.00067,5.62,4.08,5.18,3.86,5.4,3.97,1,12/7/2020,0.00052,0.00155,5.29,3.5,5.75,3.67,5.52,3.585,1/11/2021,46,64,0.19179,0.08697
Sca_och,future,4_4,4_4_C3,fall,drought,1,2,41,0.00046,0.00061,0.00068,0.00072,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,1_1,1_1_C4,summer,drought,1,2,43,0.00061,0.00115,0.00086,0.00068,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,4_4,4_4_C2,summer,control,1,2,45,0.00041,0.00044,0.00084,0.0005,0.00048,3,11/30/2020,0.00084,6.43,4.46,6.52,4.07,6.475,4.265,2,12/2/2020,0.00044,0.00138,5.17,3.86,5.35,3.53,,,1/11/2021,69,108,0.41091,0.15228
Dia_car,ambient,1_1,1_1_C4,fall,drought,1,2,46,0.00063,0.00043,0.00065,0.00063,0.00077,2,12/14/2020,0.00043,5.75,4.02,6.18,3.89,5.965,3.955,3,12/16/2020,0.00065,0.00135,5.85,4.18,5.35,4.11,5.6,4.145,1/25/2021,,,,
Sca_och,future,7_2,7_2_C3,fall,drought,1,2,48,0.00068,0.00058,0.00068,0.00064,0.00092,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,10_2,10_2_C1,fall,drought,1,2,49,0.00072,0.0006,0.00054,0.00064,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,6_3,6_3_C4,summer,control,2,3,1,0.00062,0.00069,0.00053,0.00071,0.00057,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,ambient,1_1,1_1_C4,summer,control,2,3,2,0.00075,0.00122,0.0006,0.00103,0.00135,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,future,6_3,6_3_C4,fall,control,2,3,3,0.00084,0.00113,0.001,0.00072,0.00117,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,1_1,1_1_C1,summer,drought,2,3,4,0.00095,0.00068,0.00056,0.00112,0.00054,1,12/30/2020,0.00095,4.89,3.6,4.47,3.36,4.68,3.48,,,,,,,,,,,2/10/2021,,,,
Sca_och,ambient,3_4,3_4_C2,summer,drought,2,3,6,0.00039,0.00045,0.00049,0.00052,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C2,fall,drought,2,3,10,0.00082,0.00092,0.00081,0.00059,0.00054,4 ,11/27/2020,0.00059,5.27,3.89,5.03,3.5,5.15,3.695,5,11/30/2020,0.00054,0.0013,5.77,3.77,5.91,3.98,5.84,3.875,1/8/2021,45,68,0.13681,0.07024
Sca_och,ambient,3_4,3_4_C4,fall,control,2,3,11,0.00063,0.00072,0.00061,0.00064,0.00069,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,3_4,3_4_C2,fall,drought,2,3,14,0.00023,0.00045,0.00028,0.00066,0.00022,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,4_4,4_4_C2,summer,drought,2,3,15,0.0008,0.0009,0.00131,0.00145,0.00095,3,12/16/2020,0.00131,4.45,3.02,4.38,2.92,4.415,2.97,,,,,,,,,,,1/27/2021,,,,
Dia_car,future,4_4,4_4_C4,fall,drought,2,3,17,0.00043,0.00051,0.00052,0.00059,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,4_4,4_4_C3,fall,control,2,3,18,0.00039,0.00051,0.00044,0.00038,0.00057,4,11/30/2020,0.00038,5.29,4.25,5.31,3.9,5.3,4.075,3,11/30/2020,0.00044,0.00128,5.88,4.49,5.6,4.91,,,1/11/2021,57,111,0.8782,0.18072
Dia_car,ambient,8_3,8_3_C2,fall,control,2,3,20,0.00089,0.0005,0.00026,0.00039,0.00034,1,11/27/2020,0.00089,6.74,4.89,6.02,4.63,6.38,4.76,,,,,,,,,,,1/8/2021,97,144,0.68315,0.15164
Dia_car,ambient,8_3,8_3_C3,summer,drought,2,3,21,0.00033,0.00059,0.00029,0.00047,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,3_4,3_4_C1,fall,control,2,3,25,0.00199,0.0016,0.00199,0.0012,0.00085,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C2,fall,drought,2,3,27,,,,,,1,12/2/2020,0,4.91,3.76,5.03,3.3,4.97,3.53,,,,,,,,,,,1/13/2021,61,142,,
Sca_och,ambient,5_5,5_5_C2,fall,drought,2,3,28,0.00079,0.00067,0.00074,0.00085,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,7_2,7_2_C2,summer,drought,2,3,30,0.00123,0.00073,0.0008,0.00109,0.00116,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,6_3,6_3_C3,summer,control,2,3,33,0.00066,0.00046,0.00049,0.00067,0.0005,1,11/30/2020,0.00066,6.44,3.71,6,4.08,6.22,3.895,4,12/4/2020,0.00067,0.0015,4.97,3.51,5.88,4.15,,,1/11/2021,87,152,0.57332,0.15345
Dia_car,ambient,10_2,10_2_C1,summer,control,2,3,34,0.00065,0.00063,0.00061,0.0007,0.0008,1,11/30/2020,0.00065,6.75,3.22,5.68,3.18,6.215,3.2,,,,,,,,,,,1/11/2021,114,176,1.20322,0.33505
Dia_car,ambient,5_5,5_5_C1,fall,control,2,3,35,0.00048,0.00048,0.00062,0.00056,0.00047,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C2,fall (geändert durch Martin),control,2,3,36,,,,,,1,12/4/2020,NA,6.09,3.14,6.25,3.42,6.17,3.28,,,,,,,,,,,1/15/2021,77,124,,
Dia_car,future,7_2,7_2_C3,fall,control,2,3,38,0.00082,0.00084,0.00062,0.0007,0.00062,1,11/30/2020,0.00082,6.15,4.47,6.59,3.52,6.37,3.995,4,12/2/2020,0.0007,0.0014,4.06,2.72,4.14,3.34,,,1/11/2021,89,142,0.6495,0.18361
Dia_car,ambient,3_4,3_4_C4,summer,control,2,3,40,0.00069,0.00063,0.00065,0.00052,0.00078,4,11/30/2020,0.00052,5.63,3.89,4.92,3.97,5.275,3.93,1,12/2/2020,0.00069,0.00148,5.08,4.04,5.37,3.65,,,1/11/2021,77,136,0.83114,0.27209
Dia_car,future,4_4,4_4_C2,summer,drought,2,3,41,0.00061,0.0004,0.00056,0.00044,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,4_4,4_4_C3,summer,control,2,3,45,0.00041,0.00035,NA,NA,NA,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,future,7_2,7_2_C1,fall,drought,2,3,47,0.0011,0.00069,0.00097,0.00112,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,2_5,2_5_C4,fall,control,2,3,48,0.00078,0.00086,0.0009,0.00095,0.00113,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,ambient,3_4,3_4_C1,fall,drought,2,3,49,0.00195,0.001,0.00106,0.00194,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,5_5,5_5_C3,summer,drought,2,3,50,0.00085,0.00152,0.00123,0.00088,0.0016,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,2_5,2_5_C2,fall,control,2,4,3,0.00073,0.00044,0.00037,0.0004,0.00043,3,11/30/2020,0.00037,5.88,3.39,5.66,3.4,5.77,3.395,2,12/16/2020,0.00044,0.00129,6.13,3.51,6.55,3.85,,,1/11/2021,106,132,0.66562,0.13686
Sca_och,future,2_5,2_5_C2,summer,drought,2,4,4,0.00116,0.00123,0.00108,0.00147,0.00133,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,ambient,10_2,10_2_C2,summer,drought,2,4,5,0.00065,0.00045,0.00052,0.00051,0.0005,2,12/30/2020,0.00045,4.5,2.85,4.42,2.94,4.46,2.895,,,,,,,,,,,2/10/2021,,,,
Dia_car,future,6_3,6_3_C4,summer,drought,2,4,7,0.00054,0.00044,0.00077,0.00052,0.00049,1,12/14/2020,0.00054,4.5,4.15,4.82,4.37,4.66,4.26,,,,,,,,,,,1/25/2021,,,,
Dia_car,ambient,5_5,5_5_C4,summer,drought,2,4,9,0.00095,0.00087,0.00062,0.00038,0.00041,3,12/18/2020,0.00062,6.41,3.99,6.14,3.6,6.275,3.795,,,,,,,,,,,1/29/2021,,,,
Dia_car,future,9_1,9_1_C3,fall,drought,2,4,10,0.00038,0.00049,0.00065,0.00056,0.00054,3,12/2/2020,0.00065,5.35,4.01,5.62,4.18,5.485,4.095,5,12/2/2020,0.00054,0.0017,5.91,3.67,6.08,4.15,5.995,3.91,1/13/2021,39,94,,
Dia_car,ambient,1_1,1_1_C2,fall,drought,2,4,12,NA,NA,NA,NA,NA,1,12/14/2020,NA,4.46,2.54,4.96,3.3,4.71,2.92,,,,,,,,,,,1/25/2021,,,,
Sca_och,future,2_5,2_5_C1,fall,drought,2,4,13,0.00095,0.00091,0.00081,0.00084,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,ambient,8_3,8_3_C2,fall,drought,2,4,15,0.00086,0.00071,0.00039,0.00033,0.00038,1,11/30/2020,0.00086,5.68,3.09,4.97,3.51,5.325,3.3,,,,,,,,,,,1/11/2021,29,62,0.09698,0.04734
Dia_car,future,9_1,9_1_C1,summer,drought,2,4,17,0.00027,0.00096,0.00032,0.00023,0.00052,5,12/14/2020,0.00052,4.98,2.9,4.45,2.44,4.715,2.67,2,12/14/2020,0.00096,0.00108,6.49,2.68,7.1,2.94,6.795,2.81,1/25/2021,,,,
Sca_och,future,7_2,7_2_C2,fall,control,2,4,19,0.00146,0.00087,0.0015,0.00084,0.0012,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,ambient,1_1,1_1_C2,summer,drought,2,4,21,0.00093,0.0008,0.00069,0.00049,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,4_4,4_4_C3,fall,control,2,4,25,0.00056,0.0005,0.0005,0.00048,0.00057,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,4_4,4_4_C1,summer,drought,2,4,26,0.00043,0.00057,0.00079,0.00098,0.00075,5,11/27/2020,0.00075,5.42,4.43,5.3,4.98,5.36,4.705,1,11/30/2020,0.00043,0.00091,6.13,3.31,5.48,3.12,5.805,3.215,1/8/2021,36,71,0.21206,0.10219
Sca_och,ambient,1_1,1_1_C2,fall,drought,2,4,27,0.00117,0.00114,0.00119,0.00091,0.00119,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,8_3,8_3_C3,fall,control,2,4,29,0.00087,0.0006,0.00081,0.00067,0.00075,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,future,6_3,6_3_C2,fall,drought,2,4,31,0.00068,0.00073,0.00068,0.0007,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,ambient,10_2,10_2_C2,fall,drought,2,4,33,0.00065,0.00062,0.00051,0.00065,0.00043,5,11/30/2020,0.00043,6.25,3.28,5.98,3.17,6.115,3.225,1,12/2/2020,0.00065,0.00156,5.02,3.18,5.16,3.25,5.09,3.215,1/11/2021,47,71,0.18505,0.08723
Sca_och,ambient,10_2,10_2_C1,fall,control,2,4,34,0.00074,0.00052,0.00056,0.00054,0.00052,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,1_1,1_1_C4,summer,control,2,4,37,NA,NA,NA,NA,NA,2,12/21/2020,NA,5.32,3.6,5.4,3.68,5.36,3.64,3,12/21/2020,NA,0.0019,5.18,3.71,5.04,3.57,,,2/1/2021,,,,
Sca_och,future,7_2,7_2_C3,summer,control,2,4,38,0.00062,0.00106,0.00106,0.00051,0.0008,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,ambient,3_4,3_4_C4,summer,control,2,4,40,0.00051,0.00056,0.0005,0.00051,0.00065,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,future,2_5,2_5_C4,summer,control,2,4,41,0.0025,0.00104,0.00072,0.00169,0.00285,1,12/25/2020,0.0025,4.9,3.05,4.71,2.95,4.805,3,,,,,,,,,,,2/5/2021,,,,
Dia_car,future,9_1,9_1_C3,summer,control,2,4,44,0.00084,0.00093,0.0008,0.00092,0.00098,1,12/14/2020,0.00084,6.5,3.86,6.4,3.65,6.45,3.755,,,,,,,,,,,1/25/2021,,,,
Sca_och,future,9_1,9_1_C2,summer,drought,2,4,45,0.0012,0.00099,0.00137,0.001,0.00139,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,ambient,1_1,1_1_C2,fall,control,2,4,46,NA,NA,NA,NA,NA,,,,,,,,0,0,,,,,,,,,,,,,,,
